id,frame_position,frame_id,x_head,y_head,x_tail,y_tail
1,0,0,106.86737,104.8992,107.86737,105.8992
2,0,1,100.14172,176.49048,102.14172,57.49048
3,0,2,23.505066,99.164734,135.50507,102.164734
4,819,0,126.75238,62.631714,61.873413,123.710144
5,819,1,124.50928,129.67761,51.18683,71.01965
6,819,2,74.41876,57.619995,131.13135,126.534485
7,1619,0,90.769714,98.50604,85.05444,79.71637
8,1619,1,83.592224,56.69214,84.94629,126.2901
9,1619,2,145.39905,91.46912,72.0885,74.55127
10,1714,0,115.89337,68.7995,100.52081,119.49231
11,1714,1,110.21594,42.186523,105.14081,152.50024
12,1714,2,157.8778,64.22052,48.8407,118.59961
13,4719,0,95.285095,83.61548,100.42566,118.599976
14,4719,1,97.6557,142.79355,101.0647,73.66702
15,4719,2,57.675903,78.09375,129.36328,114.97229
16,4779,0,94.8194,115.54266,107.93811,121.532776
17,4779,1,97.78815,100.63623,106.56592,71.54907
18,4779,2,99.2489,116.70325,130.59534,118.14111
19,4789,0,94.12543,121.63953,114.63086,125.43616
20,4789,1,95.763855,104.86374,116.76697,73.20233
21,4789,2,96.76831,120.42804,127.598145,123.27783
